iter	Passed	Remaining
0	17	17906
1	35	17715
2	47	15800
3	59	14749
4	71	14203
5	82	13733
6	95	13526
7	107	13329
8	120	13229
9	131	13025
10	143	12919
11	153	12634
12	165	12569
13	183	12916
14	194	12799
15	207	12787
16	220	12747
17	232	12666
18	245	12657
19	257	12618
20	269	12583
21	283	12585
22	295	12542
23	309	12606
24	322	12565
25	336	12600
26	349	12583
27	361	12538
28	379	12690
29	391	12659
30	403	12601
31	415	12573
32	429	12571
33	443	12603
34	455	12570
35	469	12560
36	482	12565
37	495	12547
38	508	12527
39	521	12513
40	534	12511
41	547	12482
42	559	12441
43	577	12541
44	590	12538
45	601	12482
46	613	12436
47	627	12440
48	644	12515
49	662	12589
50	686	12769
51	703	12827
52	715	12789
53	733	12854
54	753	12951
55	768	12961
56	787	13028
57	802	13032
58	815	13010
59	829	12997
60	843	12988
61	855	12948
62	869	12928
63	882	12899
64	893	12853
65	906	12823
66	918	12791
67	931	12763
68	944	12737
69	961	12768
70	975	12763
71	992	12794
72	1009	12816
73	1021	12782
74	1034	12762
75	1048	12742
76	1061	12724
77	1073	12686
78	1085	12660
79	1099	12644
80	1111	12615
81	1124	12591
82	1137	12570
83	1150	12550
84	1163	12527
85	1178	12528
86	1197	12565
87	1213	12578
88	1226	12557
89	1239	12531
90	1252	12511
91	1265	12486
92	1278	12472
93	1291	12449
94	1304	12423
95	1317	12409
96	1331	12391
97	1344	12378
98	1357	12358
99	1369	12323
100	1382	12303
101	1399	12318
102	1413	12312
103	1427	12295
104	1443	12304
105	1460	12314
106	1474	12307
107	1487	12286
108	1499	12257
109	1511	12230
110	1524	12208
111	1537	12189
112	1549	12165
113	1562	12142
114	1574	12118
115	1593	12147
116	1612	12171
117	1631	12191
118	1644	12172
119	1657	12155
120	1670	12131
121	1682	12107
122	1695	12088
123	1708	12072
124	1722	12054
125	1731	12008
126	1744	11989
127	1756	11967
128	1769	11949
129	1788	11969
130	1801	11951
131	1815	11938
132	1827	11916
133	1840	11893
134	1853	11875
135	1866	11859
136	1879	11838
137	1892	11820
138	1905	11803
139	1917	11779
140	1930	11758
141	1943	11744
142	1957	11731
143	1970	11714
144	1988	11726
145	2002	11712
146	2018	11714
147	2037	11726
148	2054	11732
149	2072	11743
150	2089	11750
151	2105	11747
152	2122	11748
153	2141	11763
154	2158	11765
155	2175	11767
156	2192	11774
157	2212	11788
158	2227	11779
159	2243	11778
160	2260	11782
161	2278	11787
162	2298	11800
163	2314	11797
164	2331	11796
165	2347	11792
166	2362	11786
167	2372	11748
168	2389	11751
169	2404	11741
170	2417	11721
171	2430	11699
172	2443	11681
173	2459	11677
